entry,exit,symbol,qty,pnl
2017-06-09,2017-06-28,MES,1,39.2
2017-06-15,2017-07-06,STRAD84,1,59.8
2017-06-20,2017-06-23,MGC,1,16.9
2017-06-28,2017-07-10,MES,1,-0.1
2017-07-07,2017-07-28,STRAD96,1,127.8
2017-07-25,2017-08-10,MES,1,-75.2
2017-07-25,2017-08-24,LCALL,1,-14.1
2017-07-26,2017-08-14,MCL,3,32.5
2017-07-26,2017-08-16,STRAD84,1,-108.2
2017-08-11,2017-08-15,MES,1,52.4
2017-08-16,2017-09-06,STRAD84,1,218.8
2017-08-18,2017-09-08,STRAD71,1,-75.0
2017-08-18,2017-08-22,MES,1,44.9
2017-08-23,2017-09-13,STRAD96,1,-53.2
2017-08-29,2017-09-01,MES,1,24.9
2017-09-01,2017-09-08,MNG,4,81.4
2017-09-06,2017-09-15,MES,1,39.9
2017-09-08,2017-09-29,STRAD71,1,81.5
2017-09-12,2017-10-03,STRAD84,1,247.8
2017-09-22,2017-10-05,MGC,1,-19.1
2017-09-22,2017-10-02,MES,1,30.5
2017-10-03,2017-10-24,STRAD84,1,-175.2
2017-10-12,2017-11-11,LCALL,1,-104.2
2017-10-16,2017-10-27,MNG,4,99.4
2017-10-26,2017-11-03,MES,1,42.4
2017-11-07,2017-11-28,STRAD84,1,-77.2
2017-11-15,2017-11-21,MES,1,58.6
2017-11-20,2017-12-20,LCALL,1,-88.2
2017-12-06,2017-12-27,STRAD96,1,25.8
2017-12-06,2017-12-15,MES,1,44.2
2017-12-08,2017-12-29,STRAD84,1,271.8
2017-12-21,2018-01-03,MES,1,24.2
2017-12-29,2018-01-28,LCALL,1,324.9
2017-12-29,2018-01-19,STRAD84,1,229.8
2017-12-29,2018-01-05,MNG,4,141.4
2018-01-26,2018-02-16,STRAD84,1,-24.2
2018-01-31,2018-02-23,MES,1,-27.6
2018-03-01,2018-03-08,MES,1,64.8
2018-03-07,2018-03-15,MNG,4,87.4
2018-03-15,2018-04-09,MES,1,-128.9
2018-04-16,2018-04-30,MNG,4,25.4
2018-04-24,2018-05-03,MGC,1,-23.1
2018-05-01,2018-05-22,STRAD71,1,-91.2
2018-05-01,2018-05-22,STRAD84,1,-151.2
2018-05-11,2018-06-10,LCALL,1,-82.7
2018-05-16,2018-06-04,MES,1,34.9
2018-06-13,2018-07-04,STRAD96,1,78.8
2018-06-19,2018-07-09,MES,1,41.7
2018-06-28,2018-07-19,STRAD84,1,54.8
2018-07-23,2018-08-03,MES,1,41.1
2018-08-03,2018-08-24,STRAD84,1,-50.2
2018-08-08,2018-08-24,MNG,4,53.4
2018-08-16,2018-08-27,MES,1,48.6
2018-09-05,2018-09-19,MES,1,62.4
2018-09-18,2018-10-09,STRAD71,1,331.8
2018-09-21,2018-10-05,MNG,4,-180.6
2018-09-26,2018-10-10,MES,1,-336.4
2018-10-11,2018-11-01,STRAD96,1,32.8
2018-10-11,2018-10-16,MES,1,80.5
2018-10-25,2018-11-24,LCALL,1,-80.2
2018-11-13,2018-12-04,STRAD96,1,151.8
2018-11-30,2018-12-30,LCALL,1,248.8
2018-12-20,2019-01-10,STRAD96,1,-104.2
2019-01-10,2019-01-14,MCL,3,17.5
2019-02-01,2019-03-03,LCALL,1,223.6
2019-02-07,2019-02-28,STRAD84,1,20.8
2019-02-08,2019-02-15,MES,1,40.5
2019-02-22,2019-03-08,MES,1,-31.4
2019-02-25,2019-03-11,MNG,4,13.4
2019-03-11,2019-03-18,MES,1,62.4
2019-03-28,2019-04-01,MES,1,35.5
2019-04-02,2019-04-23,STRAD84,1,-129.2
2019-04-18,2019-05-10,MES,1,-27.6
2019-05-02,2019-05-23,STRAD84,1,170.8
2019-05-10,2019-05-31,MES,1,-143.9
2019-05-13,2019-05-22,MNG,4,29.4
2019-05-14,2019-06-04,STRAD71,1,-27.4
2019-05-16,2019-06-15,LCALL,1,242.9
2019-05-22,2019-06-12,STRAD96,1,388.8
2019-05-23,2019-06-13,STRAD84,1,151.8
2019-06-13,2019-07-02,EQ:AMD,1,33.2
2019-06-26,2019-07-02,MCL,3,50.6
2019-07-08,2019-07-26,EQ:PFE,1,11.5
2019-08-01,2019-08-22,STRAD96,1,-181.2
2019-08-01,2019-08-30,MES,1,61.1
2019-08-01,2019-08-22,STRAD71,1,-237.4
2019-08-30,2019-10-01,MNG,5,106.8
2019-09-03,2019-09-06,EQ:BA,1,172.0
2019-09-06,2019-10-06,LCALL,1,-158.9
2019-09-10,2019-09-12,MCL,3,41.5
2019-09-13,2019-10-04,STRAD105,1,102.0
2019-09-19,2019-10-10,STRAD84,1,-115.2
2019-09-25,2019-10-10,MES,1,-15.2
2019-10-01,2019-10-09,MGC,1,18.3
2019-10-10,2019-11-01,EQ:BA,1,-60.5
2019-10-10,2019-10-31,STRAD71,1,69.3
2019-10-16,2019-11-06,STRAD90,1,15.0
2019-10-24,2019-11-14,STRAD84,1,-131.2
2019-11-08,2019-11-14,MGC,1,13.8
2019-11-21,2019-11-27,MES,1,67.3
2019-12-02,2019-12-12,EQ:AVGO,1,179.5
2019-12-18,2020-01-17,LCALL,1,233.8
2019-12-20,2020-01-10,STRAD84,1,365.8
2019-12-31,2020-01-09,MES,1,64.8
2020-01-08,2020-01-29,STRAD71,1,-18.7
2020-01-10,2020-01-31,STRAD96,1,177.8
2020-01-10,2020-01-31,EQ:XOM,1,-330.0
2020-01-14,2020-02-04,STRAD84,1,-101.2
2020-02-03,2020-02-04,EQ:AAPL,1,182.0
2020-02-19,2020-02-24,MNG,5,41.8
2020-02-21,2020-03-10,MES,1,-1568.9
2020-03-13,2020-04-03,STRAD96,1,678.8
2020-03-13,2020-03-24,MGC,1,62.9
2020-03-25,2020-04-24,LCALL,1,-373.1
2020-04-08,2020-04-15,MNG,5,44.2
2020-04-21,2020-04-30,MNG,5,39.2
2020-05-07,2020-05-18,EQ:WMT,1,77.0
2020-05-12,2020-06-11,LCALL,1,546.1
2020-05-19,2020-06-05,EQ:LLY,1,37.0
2020-06-04,2020-06-19,MGC,1,42.9
2020-06-10,2020-06-26,EQ:WMT,1,-21.0
2020-07-15,2020-07-20,EQ:CRM,1,126.2
2020-07-20,2020-08-04,EQ:UNH,1,129.2
2020-08-06,2020-08-19,EQ:PFE,1,9.0
2020-08-19,2020-08-25,EQ:AMD,1,62.0
2020-08-20,2020-09-10,STRAD84,1,-306.2
2020-09-04,2020-09-30,MES,1,154.8
2020-09-10,2020-10-01,STRAD96,1,-50.2
2020-09-18,2020-10-09,STRAD71,1,-63.7
2020-09-22,2020-10-05,MGC,1,82.3
2020-10-01,2020-10-22,STRAD96,1,-165.2
2020-10-01,2020-10-13,EQ:DIS,1,113.0
2020-10-13,2020-10-30,EQ:NKE,1,-249.5
2020-11-02,2020-11-04,MES,1,221.1
2020-11-03,2020-12-03,LCALL,1,-337.1
2020-11-10,2020-11-18,EQ:CRM,1,250.8
2020-11-19,2020-11-30,MES,1,76.1
2020-12-10,2020-12-28,MES,1,148.6
2020-12-28,2021-01-27,LCALL,1,-325.1
2021-01-05,2021-01-20,MES,1,178.6
2021-01-14,2021-02-04,STRAD84,1,-221.2
2021-01-28,2021-02-04,MES,1,166.7
2021-01-28,2021-02-18,STRAD71,1,-461.2
2021-02-02,2021-02-09,MNG,5,61.8
2021-02-19,2021-03-10,MES,1,81.1
2021-02-26,2021-03-19,STRAD84,1,-398.2
2021-03-04,2021-03-25,STRAD71,1,498.3
2021-03-11,2021-04-05,EQ:LLY,1,-86.5
2021-03-19,2021-04-09,STRAD84,1,-224.2
2021-04-09,2021-04-30,STRAD84,1,-131.2
2021-04-16,2021-05-04,MNG,5,-105.8
2021-04-21,2021-05-07,MES,1,102.3
2021-05-07,2021-06-06,LCALL,1,377.9
2021-05-12,2021-05-14,MES,1,180.5
2021-05-19,2021-05-24,EQ:DE,1,194.5
2021-05-27,2021-06-17,STRAD71,1,-111.2
2021-06-02,2021-06-23,MES,1,102.3
2021-06-15,2021-07-06,MGC,1,-83.2
2021-06-25,2021-07-16,STRAD84,1,-73.2
2021-07-09,2021-08-03,MES,1,103.6
2021-07-22,2021-08-12,STRAD96,1,-151.2
2021-08-02,2021-09-01,LCALL,1,-250.2
2021-08-03,2021-08-16,MES,1,117.3
2021-08-12,2021-09-02,STRAD84,1,159.8
2021-08-13,2021-09-03,STRAD96,1,-131.2
2021-08-18,2021-08-24,MES,1,179.8
2021-09-01,2021-10-01,LCALL,1,-260.1
2021-09-08,2021-09-24,EQ:NKE,1,-16.0
2021-09-28,2021-10-07,EQ:NVDA,1,165.8
2021-10-08,2021-11-07,LCALL,1,522.4
2021-10-11,2021-10-14,EQ:BAC,1,18.5
2021-11-10,2021-11-24,MES,1,147.3
2021-11-23,2021-12-14,STRAD96,1,528.8
2021-12-01,2021-12-07,MES,1,203.0
2021-12-07,2021-12-15,EQ:LLY,1,105.5
2021-12-15,2021-12-27,MES,1,103.6
2021-12-27,2022-01-26,LCALL,1,30.9
2021-12-28,2022-01-26,MCL,3,-870.4
2021-12-30,2022-01-20,STRAD90,1,818.0
2021-12-30,2022-01-20,STRAD105,1,62.0
2022-01-04,2022-01-25,STRAD71,1,646.3
2022-01-06,2022-02-07,MES,1,-67.7
2022-01-10,2022-01-20,MNG,5,144.2
2022-02-08,2022-02-25,EQ:PFE,1,-64.5
2022-03-08,2022-03-15,EQ:COST,1,347.0
2022-03-15,2022-03-21,EQ:CVX,1,99.0
2022-03-28,2022-04-27,LCALL,1,-260.1
2022-03-30,2022-04-18,EQ:PFE,1,4.5
2022-04-07,2022-04-28,STRAD71,1,746.3
2022-04-18,2022-04-19,EQ:JNJ,1,104.2
2022-04-19,2022-05-06,EQ:PFE,1,8.0
2022-04-26,2022-06-06,MGC,1,25.9
2022-05-06,2022-05-17,EQ:DE,1,289.5
2022-05-18,2022-05-23,EQ:JNJ,1,85.8
2022-05-31,2022-06-17,EQ:UNH,1,-820.5
2022-06-01,2022-06-22,STRAD84,1,107.8
2022-06-22,2022-07-13,STRAD84,1,220.8
2022-06-23,2022-07-14,STRAD96,1,-495.2
2022-07-12,2022-07-28,EQ:JNJ,1,66.0
2022-07-28,2022-08-19,EQ:PFE,1,7.5
2022-08-02,2022-09-01,LCALL,1,593.6
2022-08-25,2022-09-06,MCL,3,230.5
2022-08-31,2022-09-08,MES,1,83.0
2022-09-08,2022-09-12,EQ:AAPL,1,92.2
2022-09-13,2022-09-30,EQ:COST,1,-500.5
2022-09-16,2022-10-07,STRAD84,1,-85.2
2022-11-01,2022-11-08,EQ:LLY,1,218.2
2022-11-07,2022-11-14,MNG,5,1396.7
2022-11-14,2022-12-05,STRAD90,1,-90.0
2022-11-14,2022-12-05,STRAD103,1,-204.0
2022-11-14,2022-12-14,LCALL,1,-202.2
2022-11-14,2022-12-05,STRAD91,1,-1017.0
2022-11-14,2022-12-05,STRAD101,1,-217.0
2022-11-14,2022-12-05,STRAD105,1,-418.0
2022-11-18,2022-11-23,MES,1,44.2
2022-11-23,2022-11-28,MNG,5,1501.8
2022-11-29,2022-11-30,MES,1,44.2
2022-12-05,2022-12-26,STRAD103,1,545.0
2022-12-05,2022-12-26,STRAD105,1,574.0
2022-12-05,2022-12-26,STRAD102,1,-332.0
2022-12-05,2022-12-26,STRAD90,1,-604.0
2022-12-05,2022-12-26,STRAD101,1,-77.0
2022-12-06,2023-01-06,MES,1,124.8
2023-01-13,2023-02-12,LCALL,1,-233.9
2023-01-17,2023-02-07,STRAD91,1,1595.0
2023-01-17,2023-02-07,STRAD102,1,3846.0
2023-01-17,2023-02-07,STRAD90,1,756.0
2023-01-17,2023-02-07,STRAD103,1,812.0
2023-01-17,2023-02-07,STRAD101,1,730.0
2023-01-18,2023-01-25,MES,1,92.3
2023-02-07,2023-02-24,MES,1,-200.2
2023-02-09,2023-03-02,STRAD84,1,-95.2
2023-03-01,2023-03-03,MES,1,101.1
2023-03-02,2023-04-01,LCALL,1,528.8
2023-03-23,2023-04-13,STRAD96,1,-296.2
2023-04-03,2023-04-10,MCL,4,67.4
2023-04-06,2023-04-18,MES,1,102.3
2023-04-17,2023-04-24,MNG,5,34.2
2023-04-20,2023-05-11,STRAD96,1,-327.2
2023-04-20,2023-05-10,MES,1,99.8
2023-05-11,2023-06-01,STRAD96,1,-123.2
2023-05-17,2023-06-01,MES,1,89.2
2023-05-19,2023-05-23,MNG,5,144.2
2023-06-01,2023-06-09,MES,1,105.5
2023-06-09,2023-06-30,STRAD96,1,-109.2
2023-06-16,2023-06-28,MNG,5,181.8
2023-06-20,2023-07-03,EQ:PLTR,1,8.8
2023-06-21,2023-07-05,MGC,1,17.8
2023-07-06,2023-07-13,MES,1,109.8
2023-07-12,2023-07-27,MCL,4,-164.6
2023-07-19,2023-08-18,LCALL,1,-181.1
2023-07-24,2023-08-10,MES,1,-101.4
2023-08-10,2023-08-25,MES,1,13.6
2023-08-10,2023-08-28,MGC,1,19.9
2023-09-05,2023-10-05,LCALL,1,-147.2
2023-09-06,2023-10-10,MES,1,19.9
2023-09-14,2023-10-05,STRAD71,1,368.8
2023-10-26,2023-10-30,EQ:META,1,188.2
2023-10-31,2023-11-02,EQ:LLY,1,300.8
2023-11-03,2023-11-24,STRAD84,1,-248.2
2023-11-06,2023-11-27,STRAD100,1,2154.0
2023-11-06,2023-11-27,STRAD105,1,525.0
2023-11-06,2023-11-27,STRAD91,1,-430.0
2023-11-06,2023-11-27,STRAD101,1,-59.0
2023-11-06,2023-11-27,STRAD103,1,40.0
2023-11-08,2023-11-14,EQ:WMT,1,59.0
2023-11-13,2023-12-13,LCALL,1,422.4
2023-12-07,2023-12-13,MES,1,82.3
2023-12-21,2024-01-11,STRAD96,1,-290.2
2023-12-21,2024-01-08,MES,1,57.4
2024-01-03,2024-01-24,STRAD71,1,432.3
2024-01-05,2024-01-16,MNG,5,209.2
2024-01-09,2024-01-23,EQ:C,1,17.5
2024-01-18,2024-01-30,MGC,1,42.4
2024-01-25,2024-02-01,MCL,4,109.4
2024-01-25,2024-02-01,EQ:LLY,1,327.0
2024-02-01,2024-02-07,MES,1,91.1
2024-02-07,2024-02-23,EQ:DE,1,59.0
2024-02-14,2024-02-20,MGC,1,34.9
2024-02-28,2024-03-20,STRAD102,1,-508.0
2024-02-28,2024-03-20,STRAD105,1,69.0
2024-02-28,2024-03-20,STRAD101,1,-269.0
2024-02-28,2024-03-20,STRAD91,1,1343.0
2024-02-28,2024-03-20,STRAD90,1,1.0
2024-02-28,2024-03-20,STRAD103,1,30.0
2024-02-29,2024-03-20,MES,1,74.2
2024-03-05,2024-03-07,MNG,5,26.8
2024-03-26,2024-04-16,STRAD84,1,348.8
2024-03-26,2024-04-09,MES,1,21.1
2024-04-11,2024-05-03,EQ:DIS,1,-40.5
2024-04-11,2024-05-02,STRAD71,1,-404.9
2024-05-01,2024-05-09,MGC,1,46.3
2024-05-01,2024-05-22,STRAD96,1,-191.2
2024-05-06,2024-05-27,STRAD101,1,-146.0
2024-05-06,2024-05-27,STRAD105,1,164.0
2024-05-06,2024-05-27,STRAD103,1,-353.0
2024-05-06,2024-05-27,STRAD90,1,-99.0
2024-05-06,2024-05-27,STRAD91,1,-437.0
2024-05-14,2024-05-16,EQ:WMT,1,15.8
2024-05-21,2024-06-07,EQ:CRM,1,-1113.0
2024-06-12,2024-07-03,STRAD96,1,-8.2
2024-06-13,2024-07-04,STRAD84,1,-168.2
2024-06-25,2024-07-03,MES,1,77.3
2024-07-11,2024-08-02,EQ:AMZN,1,-769.0
2024-08-02,2024-08-13,MES,1,142.3
2024-08-15,2024-09-14,LCALL,1,173.6
2024-08-16,2024-08-26,MNG,5,126.8
2024-08-22,2024-09-12,STRAD96,1,7.8
2024-08-29,2024-09-09,MES,1,-108.9
2024-09-10,2024-09-19,EQ:AAPL,1,106.5
2024-09-24,2024-10-11,EQ:BAC,1,9.5
2024-09-27,2024-10-18,STRAD96,1,378.8
2024-10-04,2024-10-15,MCL,4,343.4
2024-10-11,2024-10-24,EQ:TSLA,1,213.2
2024-10-30,2024-11-07,EQ:AMD,1,91.2
2024-11-01,2024-11-22,STRAD71,1,147.6
2024-11-07,2024-12-05,MGC,1,1.9
2024-11-08,2024-11-18,EQ:DE,1,219.5
2024-11-27,2024-12-03,EQ:AVGO,1,103.0
2024-12-10,2025-01-10,MES,1,-453.9
2024-12-19,2024-12-26,MGC,1,45.4
2025-01-10,2025-01-21,EQ:NFLX,1,565.8
2025-01-27,2025-01-30,EQ:COIN,1,323.2
2025-01-28,2025-02-07,MES,1,22.4
2025-02-03,2025-02-21,EQ:TSLA,1,-433.0
2025-02-25,2025-03-10,MES,1,-732.6
2025-02-28,2025-03-21,STRAD96,1,-214.2
2025-03-25,2025-04-11,EQ:JNJ,1,-311.5
2025-03-27,2025-04-04,MCL,4,155.4
2025-04-03,2025-04-24,STRAD96,1,353.8
2025-05-08,2025-05-15,EQ:WMT,1,70.3
2025-05-13,2025-06-12,LCALL,1,-91.4
2025-05-15,2025-05-21,MGC,1,60.4
2025-05-21,2025-05-27,EQ:TSLA,1,318.3
2025-05-22,2025-06-02,MES,1,136.7
2025-06-02,2025-06-24,MES,1,159.8
2025-06-02,2025-06-20,EQ:TSLA,1,77.0
2025-06-12,2025-06-24,MCL,5,271.8
2025-06-23,2025-07-02,EQ:DE,1,212.0
2025-06-24,2025-07-15,STRAD84,1,-652.2
2025-07-11,2025-07-31,EQ:META,1,414.5
2025-08-18,2025-08-19,EQ:HD,1,160.5
2025-09-16,2025-09-26,EQ:UNH,1,168.2
2025-10-10,2025-10-30,EQ:LLY,1,558.2
2025-10-31,2025-11-21,EQ:MSFT,1,-1103.0
2025-11-25,2025-12-02,EQ:NVDA,1,123.2
2026-01-15,2026-01-22,EQ:LLY,1,665.8
2026-01-27,2026-02-04,EQ:LLY,1,588.2
2026-02-10,2026-02-27,EQ:GOOGL,1,47.5
2026-03-02,2026-03-17,EQ:GOOGL,1,172.0
2026-03-19,2026-03-31,EQ:COST,1,397.0
2026-04-20,2026-04-24,EQ:AMZN,1,138.8
2026-04-27,2026-05-12,EQ:COST,1,382.0
2026-05-18,2026-06-04,EQ:UNH,1,152.0
2026-06-12,2026-06-26,EQ:LLY,1,560.8
2026-06-26,2026-07-07,EQ:JPM,1,156.8
